,POP2010,OHU2010,GroupQuartersFlag,NUMGQTRS,HUNVFlag,LowIncomeTracts,PovertyRate,LATracts10,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10
60,4451,1740,0,0,0,1,26.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,7329,2766,0,23,1,1,24.5,0,84.55459469,0.011536989,29.796728100000003,0.004065593,22.14952167,0.003022175,5.7844256089999995,0.0007892519999999999,80.11857319,0.01093172,0.14173508699999998,1.9338900000000002e-05,0.0017811379999999998,2.43026e-07,0.0017811379999999998,2.43026e-07,2.586585402,0.000352925,1.704138973,0.00023252,6.54989782,0.000893696,0.313414983,0.00011331,6.402162432000001
62,3922,1421,0,38,0,0,12.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,8923,3329,0,13,0,0,9.1,0,123.14249709999999,0.013800571000000001,56.06959049,0.006283715,25.67258625,0.002877125,22.3181174,0.00250119,120.67761670000002,0.013524332,0.13184438199999998,1.47758e-05,0.469445359,5.2610699999999994e-05,0.0,0.0,0.551848098,6.18456e-05,1.311743504,0.000147007,0.560171787,6.27784e-05,0.562904716,0.00016909099999999998,4.583941179
64,8731,3301,0,0,0,0,11.6,1,1747.8217,0.20018574,810.4350231000001,0.092822703,428.3143541,0.049056735,236.487977,0.027086013,1675.1467630000002,0.191861959,20.27086226,0.002321711,3.9577678999999995,0.000453301,0.0,0.0,14.67717692,0.0016810420000000002,33.76912589,0.003867727,42.88388576,0.004911680999999999,18.23881994,0.005525241,88.89730856
65,1434,612,0,0,1,1,12.7,1,1226.286426,0.855150924,675.8059718,0.47127334200000004,294.347237,0.20526306600000002,193.38105380000002,0.134854291,111.5672909,0.077801458,1105.634125,0.771014034,0.0,0.0,0.0,0.0,0.7052875759999999,0.000491832,8.379724061000001,0.0058436009999999995,10.42760517,0.007271690999999999,105.2080722,0.171908615,111.4492294
67,2378,1016,0,0,1,1,25.8,1,1294.912127,0.544538321,631.1643734,0.265418155,251.7166529,0.105852251,277.1659107,0.11655421,771.3281087,0.324360012,493.6152678,0.207575806,0.968748205,0.00040737900000000003,0.0,0.0,7.000000003999999,0.00294365,21.99999945,0.009251472,9.999999983,0.0042052140000000005,86.87715621,0.085509012,93.71248598
68,2439,1019,0,113,0,1,29.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,2180,847,0,0,0,1,20.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,1469,620,0,0,0,1,21.6,1,511.09849800000006,0.347922735,236.8202355,0.161211869,115.3685926,0.078535461,85.40373156,0.058137325999999996,244.88100580000003,0.166699119,258.78808990000005,0.17616616100000002,3.0000000819999997,0.002042206,0.0,0.0,0.0,0.0,4.429404561,0.003015252,0.0,0.0,13.35775759,0.02154477,15.34053869
